,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_win,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_win,year_basho,month_basho,day_basho,id,rank,rikishi,height_cm,weight_kg,prev_rank,prev_w,prev_l
12762,11934.0,21,38,1.0,12239.0,17,77,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12763,12239.0,17,77,0.0,11934.0,21,38,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12764,6594.0,12,185,1.0,11985.0,7,42,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12765,11985.0,7,42,0.0,6594.0,12,185,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12766,4980.0,4,204,0.0,12291.0,13,20,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12767,12291.0,13,20,1.0,4980.0,4,204,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12768,9079.0,2,137,0.0,11845.0,5,94,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12769,11845.0,5,94,1.0,9079.0,2,137,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12770,89.0,1,8,0.0,12273.0,14,40,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12771,12273.0,14,40,1.0,89.0,1,8,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12772,11927.0,0,233,0.0,12051.0,10,87,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12773,12051.0,10,87,1.0,11927.0,0,233,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12774,6753.0,32,98,1.0,12292.0,9,287,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12775,12292.0,9,287,0.0,6753.0,32,98,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12776,6473.0,31,243,0.0,12094.0,8,0,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12777,12094.0,8,0,1.0,6473.0,31,243,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12778,1284.0,6,222,1.0,6642.0,30,33,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12779,6642.0,30,33,0.0,1284.0,6,222,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12780,11785.0,29,36,0.0,12144.0,3,48,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12781,12144.0,3,48,1.0,11785.0,29,36,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12782,6491.0,28,86,0.0,6614.0,33,201,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12783,6614.0,33,201,1.0,6491.0,28,86,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12784,7240.0,34,32,1.0,12055.0,26,56,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12785,12055.0,26,56,0.0,7240.0,34,32,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12786,6599.0,22,241,1.0,11728.0,27,219,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12787,11728.0,27,219,0.0,6599.0,22,241,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12788,1226.0,20,134,1.0,11934.0,21,38,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12789,11934.0,21,38,0.0,1226.0,20,134,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12790,12107.0,18,84,1.0,12239.0,17,77,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12791,12239.0,17,77,0.0,12107.0,18,84,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12792,6596.0,11,167,1.0,11845.0,5,94,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12793,11845.0,5,94,0.0,6596.0,11,167,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12794,9079.0,2,137,1.0,12291.0,13,20,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12795,12291.0,13,20,0.0,9079.0,2,137,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12796,6594.0,12,185,1.0,12144.0,3,48,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12797,12144.0,3,48,0.0,6594.0,12,185,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12798,11927.0,0,233,0.0,12273.0,14,40,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12799,12273.0,14,40,1.0,11927.0,0,233,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12800,89.0,1,8,0.0,1284.0,6,222,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12801,1284.0,6,222,1.0,89.0,1,8,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12802,4980.0,4,204,0.0,6614.0,33,201,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12803,6614.0,33,201,1.0,4980.0,4,204,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12804,7240.0,34,32,0.0,12094.0,8,0,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12805,12094.0,8,0,1.0,7240.0,34,32,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12806,6473.0,31,243,0.0,12292.0,9,287,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12807,12292.0,9,287,1.0,6473.0,31,243,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12808,6753.0,32,98,1.0,11985.0,7,42,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12809,11985.0,7,42,0.0,6753.0,32,98,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12810,11785.0,29,36,0.0,12130.0,23,200,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12811,12130.0,23,200,1.0,11785.0,29,36,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12812,2832.0,24,14,0.0,6642.0,30,33,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12813,6642.0,30,33,1.0,2832.0,24,14,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12814,11728.0,27,219,0.0,11934.0,21,38,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12815,11934.0,21,38,1.0,11728.0,27,219,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
